IVFPQ

Query: A0A002
Nearest neighbor-1: P9WQJ3, Distance: 1.334
Nearest neighbor-18: A9MTI2, Distance: 0.987
Nearest neighbor-19: Q5X0E6, Distance: 0.999
Nearest neighbor-20: A4W8C2, Distance: 1.027
Nearest neighbor-21: A7ZY35, Distance: 1.051
Nearest neighbor-22: B7NA78, Distance: 1.051
Nearest neighbor-23: Q3K063, Distance: 1.067
Nearest neighbor-24: B8G8R1, Distance: 1.109
Nearest neighbor-25: A9WT85, Distance: 1.115
Nearest neighbor-26: B2UCW7, Distance: 1.118
Nearest neighbor-27: Q50939, Distance: 1.140
Nearest neighbor-28: A6QKD8, Distance: 1.144
Nearest neighbor-29: Q1JBD1, Distance: 1.148
Nearest neighbor-30: Q99ZA5, Distance: 1.154
Nearest neighbor-31: C0MBD7, Distance: 1.170
Nearest neighbor-32: Q9ZDW2, Distance: 1.170
Nearest neighbor-33: A4SV83, Distance: 1.170
Nearest neighbor-34: Q8ZQN7, Distance: 1.172
Nearest neighbor-35: Q54986, Distance: 1.196
Nearest neighbor-36: B1IC35, Distance: 1.199
Nearest neighbor-37: Q47EI2, Distance: 1.202
Nearest neighbor-38: Q884C9, Distance: 1.206
Nearest neighbor-39: A1VDN0, Distance: 1.212
Nearest neighbor-40: Q7W8V6, Distance: 1.219
Nearest neighbor-41: Q03AL7, Distance: 1.219
Nearest neighbor-42: Q3SIK7, Distance: 1.221
Nearest neighbor-43: Q8CWX7, Distance: 1.227
Nearest neighbor-44: A3CNJ9, Distance: 1.237
Nearest neighbor-45: Q49VV6, Distance: 1.241
Nearest neighbor-46: P0C9B2, Distance: 1.249
Nearest neighbor-47: Q3Z9B4, Distance: 1.276
Nearest neighbor-48: Q71WT9, Distance: 1.288
Nearest neighbor-49: P18074, Distance: 1.364
Nearest neighbor-50: Q9T1Q7, Distance: 1.414

Query: A0A001
Nearest neighbor-1: P9WQJ3, Distance: 1.340
Nearest neighbor-2: Q13BH6, Distance: 1.423
Nearest neighbor-3: Q20Z38, Distance: 1.526
Nearest neighbor-4: Q9ZEP3, Distance: 1.757
Nearest neighbor-5: A0K739, Distance: 1.761
Nearest neighbor-6: Q51719, Distance: 1.770
Nearest neighbor-7: Q3JSR6, Distance: 1.794
Nearest neighbor-8: Q21BF6, Distance: 1.831
Nearest neighbor-9: A3Q5L8, Distance: 1.910
Nearest neighbor-10: Q7WGW1, Distance: 1.919
Nearest neighbor-11: Q7VZE5, Distance: 1.923
Nearest neighbor-12: A6W3V7, Distance: 1.945
Nearest neighbor-13: P9WHR1, Distance: 1.967
Nearest neighbor-14: P9WHR0, Distance: 1.967
Nearest neighbor-15: Q89ER4, Distance: 2.054
Nearest neighbor-16: P9WGK4, Distance: 2.076
Nearest neighbor-17: Q9RQQ9, Distance: 2.078
Nearest neighbor-18: A5WJJ8, Distance: 2.081
Nearest neighbor-19: P64708, Distance: 2.081
Nearest neighbor-20: D3KU66, Distance: 2.085
Nearest neighbor-21: Q62H59, Distance: 2.092
Nearest neighbor-22: P9WGK2, Distance: 2.108
Nearest neighbor-23: A4X1R6, Distance: 2.124
Nearest neighbor-24: O69051, Distance: 2.125
Nearest neighbor-25: A1UKA3, Distance: 2.142
Nearest neighbor-26: P9WQ35, Distance: 2.158
Nearest neighbor-27: Q82G92, Distance: 2.164
Nearest neighbor-28: A8LVF4, Distance: 2.175
Nearest neighbor-29: B1VN94, Distance: 2.190
Nearest neighbor-30: Q8GNH6, Distance: 2.205
Nearest neighbor-31: B8J6V6, Distance: 2.211
Nearest neighbor-32: E1V4F9, Distance: 2.215
Nearest neighbor-33: O86331, Distance: 2.222
Nearest neighbor-34: Q665B6, Distance: 2.223
Nearest neighbor-35: A0QS28, Distance: 2.223
Nearest neighbor-36: C5C246, Distance: 2.273
Nearest neighbor-37: B7GQ78, Distance: 2.276
Nearest neighbor-38: A3NSE4, Distance: 2.284
Nearest neighbor-39: A3PHS8, Distance: 2.288
Nearest neighbor-40: A9INR9, Distance: 2.315
Nearest neighbor-41: B7KSC1, Distance: 2.355
Nearest neighbor-42: A8L764, Distance: 2.363
Nearest neighbor-43: P9WFD9, Distance: 2.383
Nearest neighbor-44: Q8PCK0, Distance: 2.406
Nearest neighbor-45: Q609F9, Distance: 2.448
Nearest neighbor-46: Q5FUJ5, Distance: 2.452
Nearest neighbor-47: P9WPW8, Distance: 2.502
Nearest neighbor-48: P9WPW9, Distance: 2.502
Nearest neighbor-49: Q92NL9, Distance: 2.588
Nearest neighbor-50: A1WQW2, Distance: 2.601


