IVFPQ

Query: A0A002
Nearest neighbor-1: Q13BH6, Distance: 1.433
Nearest neighbor-17: Q20059, Distance: 1.473
Nearest neighbor-18: A1DIN7, Distance: 1.491
Nearest neighbor-19: O35828, Distance: 1.503
Nearest neighbor-20: A3LNM0, Distance: 1.507
Nearest neighbor-21: A2QI22, Distance: 1.511
Nearest neighbor-22: C3VEQ3, Distance: 1.520
Nearest neighbor-23: A1CXL0, Distance: 1.532
Nearest neighbor-24: Q96U88, Distance: 1.533
Nearest neighbor-25: Q8CFJ9, Distance: 1.542
Nearest neighbor-26: Q8W4D0, Distance: 1.551
Nearest neighbor-27: Q8TEB1, Distance: 1.576
Nearest neighbor-28: Q05B30, Distance: 1.587
Nearest neighbor-29: A2QGF0, Distance: 1.594
Nearest neighbor-30: A3GFE3, Distance: 1.614
Nearest neighbor-31: B0R0D7, Distance: 1.634
Nearest neighbor-32: B4GMG4, Distance: 1.636
Nearest neighbor-33: P0DL28, Distance: 1.636
Nearest neighbor-34: Q4ICG8, Distance: 1.644
Nearest neighbor-35: A5DSU5, Distance: 1.647
Nearest neighbor-36: Q8C6G8, Distance: 1.663
Nearest neighbor-37: Q8N9V6, Distance: 1.664
Nearest neighbor-38: Q9FMU5, Distance: 1.667
Nearest neighbor-39: A2Y5T7, Distance: 1.674
Nearest neighbor-40: Q8TBC3, Distance: 1.676
Nearest neighbor-41: Q9DB43, Distance: 1.683
Nearest neighbor-42: Q5RFV8, Distance: 1.685
Nearest neighbor-43: D8Q8R5, Distance: 1.692
Nearest neighbor-44: P0CP30, Distance: 1.702
Nearest neighbor-45: A2Z8S0, Distance: 1.752
Nearest neighbor-46: Q5B4W9, Distance: 1.815
Nearest neighbor-47: P37841, Distance: 1.823
Nearest neighbor-48: Q6CVN2, Distance: 1.829
Nearest neighbor-49: Q7S4I9, Distance: 1.833
Nearest neighbor-50: P0CT29, Distance: 1.878

Query: A0A009HN45
Nearest neighbor-1: A7MSB2, Distance: 0.681
Nearest neighbor-2: Q9ZDW2, Distance: 0.740
Nearest neighbor-3: B0BT63, Distance: 0.760
Nearest neighbor-4: P52126, Distance: 0.792
Nearest neighbor-5: Q0HMR2, Distance: 0.792
Nearest neighbor-6: Q0HR19, Distance: 0.796
Nearest neighbor-7: Q99ZA5, Distance: 0.806
Nearest neighbor-8: Q1JBD1, Distance: 0.807
Nearest neighbor-9: Q5X0E6, Distance: 0.828
Nearest neighbor-10: A1A7A6, Distance: 0.837
Nearest neighbor-11: A7ZW09, Distance: 0.845
Nearest neighbor-12: P0C9B2, Distance: 0.846
Nearest neighbor-13: Q03AL7, Distance: 0.856
Nearest neighbor-14: Q9ZKA0, Distance: 0.868
Nearest neighbor-15: Q50939, Distance: 0.869
Nearest neighbor-16: C0MBD7, Distance: 0.877
Nearest neighbor-17: Q5PDF0, Distance: 0.891
Nearest neighbor-18: Q54986, Distance: 0.891
Nearest neighbor-19: A7FKM4, Distance: 0.891
Nearest neighbor-20: Q49VV6, Distance: 0.896
Nearest neighbor-21: B1IC35, Distance: 0.898
Nearest neighbor-22: B5FI41, Distance: 0.898
Nearest neighbor-23: Q71WT9, Distance: 0.922
Nearest neighbor-24: A3CNJ9, Distance: 0.922
Nearest neighbor-25: Q8CWX7, Distance: 0.926
Nearest neighbor-26: Q8F8A9, Distance: 0.930
Nearest neighbor-27: B1L280, Distance: 0.959
Nearest neighbor-28: P0DOQ3, Distance: 0.966
Nearest neighbor-29: P05807, Distance: 0.977
Nearest neighbor-30: Q57RF9, Distance: 0.983
Nearest neighbor-31: C0PWY7, Distance: 0.983
Nearest neighbor-32: B5F076, Distance: 0.983
Nearest neighbor-33: A9MTI2, Distance: 0.983
Nearest neighbor-34: A4W8C2, Distance: 0.990
Nearest neighbor-35: Q47EI2, Distance: 1.001
Nearest neighbor-36: Q6GIN3, Distance: 1.009
Nearest neighbor-37: Q5HHR0, Distance: 1.009
Nearest neighbor-38: Q8NXM0, Distance: 1.015
Nearest neighbor-39: A7ZY35, Distance: 1.016
Nearest neighbor-40: B7NA78, Distance: 1.016
Nearest neighbor-41: A0KGL5, Distance: 1.029
Nearest neighbor-42: Q3SIK7, Distance: 1.039
Nearest neighbor-43: C5BEJ2, Distance: 1.040
Nearest neighbor-44: Q3Z9B4, Distance: 1.054
Nearest neighbor-45: Q631I6, Distance: 1.085
Nearest neighbor-46: Q65191, Distance: 1.163
Nearest neighbor-47: Q5NVJ8, Distance: 1.167
Nearest neighbor-48: P40562, Distance: 1.189
Nearest neighbor-49: Q55G81, Distance: 1.245
Nearest neighbor-50: Q03VV4, Distance: 1.408


