IVFPQ

Query: A0A009HPM0
Nearest neighbor-1: B2TWG0, Distance: 1.437
Nearest neighbor-19: Q87UH7, Distance: 2.125
Nearest neighbor-20: A1UKA3, Distance: 2.142
Nearest neighbor-21: Q5PKT6, Distance: 2.145
Nearest neighbor-22: P9WGX2, Distance: 2.154
Nearest neighbor-23: Q1QR47, Distance: 2.158
Nearest neighbor-24: Q82G92, Distance: 2.164
Nearest neighbor-25: P9WIL0, Distance: 2.169
Nearest neighbor-26: C7MSY6, Distance: 2.175
Nearest neighbor-27: B1VN94, Distance: 2.190
Nearest neighbor-28: D2Q1C4, Distance: 2.194
Nearest neighbor-29: B8J6V6, Distance: 2.211
Nearest neighbor-30: E1V4F9, Distance: 2.215
Nearest neighbor-31: A0QS28, Distance: 2.223
Nearest neighbor-32: Q3KKA1, Distance: 2.281
Nearest neighbor-33: P64866, Distance: 2.292
Nearest neighbor-34: Q1AS21, Distance: 2.302
Nearest neighbor-35: A9INR9, Distance: 2.315
Nearest neighbor-36: Q7VZ31, Distance: 2.358
Nearest neighbor-37: A8L764, Distance: 2.363
Nearest neighbor-38: P64315, Distance: 2.415
Nearest neighbor-39: Q0RDB1, Distance: 2.417
Nearest neighbor-40: Q7U1S4, Distance: 2.446
Nearest neighbor-41: A9W3H8, Distance: 2.447
Nearest neighbor-42: Q603L1, Distance: 2.454
Nearest neighbor-43: Q2G7G7, Distance: 2.457
Nearest neighbor-44: A5E8T9, Distance: 2.464
Nearest neighbor-45: A9IMI9, Distance: 2.486
Nearest neighbor-46: P9WPW8, Distance: 2.502
Nearest neighbor-47: P9WPW9, Distance: 2.502
Nearest neighbor-48: P9WGZ4, Distance: 2.503
Nearest neighbor-49: Q7W6L5, Distance: 2.577
Nearest neighbor-50: Q9I0F2, Distance: 2.728

Query: A0A009HLV9
Nearest neighbor-1: P28787, Distance: 0.570
Nearest neighbor-2: Q06065, Distance: 0.887
Nearest neighbor-3: Q5E3W8, Distance: 0.915
Nearest neighbor-4: O87455, Distance: 0.955
Nearest neighbor-5: P59402, Distance: 0.987
Nearest neighbor-6: A8A3I6, Distance: 0.999
Nearest neighbor-7: B6I695, Distance: 1.009
Nearest neighbor-8: A1KU52, Distance: 1.011
Nearest neighbor-9: B7N6T9, Distance: 1.013
Nearest neighbor-10: Q0TEH1, Distance: 1.015
Nearest neighbor-11: P36219, Distance: 1.027
Nearest neighbor-12: Q8EEF3, Distance: 1.051
Nearest neighbor-13: P37931, Distance: 1.066
Nearest neighbor-14: Q3K999, Distance: 1.069
Nearest neighbor-15: B5F3J7, Distance: 1.088
Nearest neighbor-16: P66756, Distance: 1.088
Nearest neighbor-17: P0A812, Distance: 1.095
Nearest neighbor-18: Q15RN6, Distance: 1.100
Nearest neighbor-19: B7NBL1, Distance: 1.103
Nearest neighbor-20: Q03R36, Distance: 1.103
Nearest neighbor-21: Q03YJ6, Distance: 1.105
Nearest neighbor-22: A5FRK7, Distance: 1.124
Nearest neighbor-23: Q220I3, Distance: 1.135
Nearest neighbor-24: P37930, Distance: 1.142
Nearest neighbor-25: B0JY77, Distance: 1.142
Nearest neighbor-26: P71229, Distance: 1.153
Nearest neighbor-27: A1U1B9, Distance: 1.176
Nearest neighbor-28: Q5H2A4, Distance: 1.188
Nearest neighbor-29: Q3BQF5, Distance: 1.191
Nearest neighbor-30: Q13UC0, Distance: 1.192
Nearest neighbor-31: Q7WGB3, Distance: 1.214
Nearest neighbor-32: P0DF50, Distance: 1.220
Nearest neighbor-33: Q88V03, Distance: 1.229
Nearest neighbor-34: Q9KDI8, Distance: 1.240
Nearest neighbor-35: P61529, Distance: 1.248
Nearest neighbor-36: Q503W7, Distance: 1.254
Nearest neighbor-37: Q92BI2, Distance: 1.263
Nearest neighbor-38: C1DRF8, Distance: 1.282
Nearest neighbor-39: Q634C4, Distance: 1.284
Nearest neighbor-40: Q6HDA6, Distance: 1.284
Nearest neighbor-41: Q817W4, Distance: 1.289
Nearest neighbor-42: B4SDZ7, Distance: 1.295
Nearest neighbor-43: A5WFF6, Distance: 1.312
Nearest neighbor-44: C0REW5, Distance: 1.319
Nearest neighbor-45: O94449, Distance: 1.336
Nearest neighbor-46: P29570, Distance: 1.380
Nearest neighbor-47: B2ISI4, Distance: 1.397
Nearest neighbor-48: Q05B83, Distance: 1.416
Nearest neighbor-49: A2SQT3, Distance: 1.423
Nearest neighbor-50: Q2RHT7, Distance: 1.495


