Hypercube

Query: A0A009I3Y5
Nearest neighbor-1: B0BBT2, Distance: 0.097
Nearest neighbor-16: C4K6P7, Distance: 0.068
Nearest neighbor-17: A9ILT1, Distance: 0.070
Nearest neighbor-18: Q9PK50, Distance: 0.070
Nearest neighbor-19: B3E6P2, Distance: 0.070
Nearest neighbor-20: Q8EBR9, Distance: 0.071
Nearest neighbor-21: Q12PY3, Distance: 0.072
Nearest neighbor-22: B0CF30, Distance: 0.072
Nearest neighbor-23: A4W4J7, Distance: 0.072
Nearest neighbor-24: C5BMR5, Distance: 0.072
Nearest neighbor-25: Q0HXG1, Distance: 0.073
Nearest neighbor-26: C0MEM8, Distance: 0.073
Nearest neighbor-27: Q32JJ5, Distance: 0.073
Nearest neighbor-28: A3D786, Distance: 0.073
Nearest neighbor-29: B4T436, Distance: 0.074
Nearest neighbor-30: B6I6B9, Distance: 0.074
Nearest neighbor-31: Q9HY08, Distance: 0.075
Nearest neighbor-32: A6V1G8, Distance: 0.075
Nearest neighbor-33: A8AZU4, Distance: 0.075
Nearest neighbor-34: P0DC60, Distance: 0.075
Nearest neighbor-35: A6VL76, Distance: 0.076
Nearest neighbor-36: B5XJ75, Distance: 0.076
Nearest neighbor-37: Q5M1Z0, Distance: 0.076
Nearest neighbor-38: B9DVK7, Distance: 0.077
Nearest neighbor-39: Q3JZH6, Distance: 0.077
Nearest neighbor-40: P36774, Distance: 0.077
Nearest neighbor-41: B0BT63, Distance: 0.078
Nearest neighbor-42: P54609, Distance: 0.078
Nearest neighbor-43: Q03VV4, Distance: 0.078
Nearest neighbor-44: A0AHX3, Distance: 0.078
Nearest neighbor-45: Q8DR26, Distance: 0.079
Nearest neighbor-46: Q3ZYA0, Distance: 0.079
Nearest neighbor-47: A7MSB2, Distance: 0.079
Nearest neighbor-48: A9WGB5, Distance: 0.079
Nearest neighbor-49: Q83CQ2, Distance: 0.080
Nearest neighbor-50: P32794, Distance: 0.080

Query: A0A009PCK4
Nearest neighbor-1: B0BBT2, Distance: 0.094
Nearest neighbor-2: P0C993, Distance: 0.097
Nearest neighbor-3: C0MEP5, Distance: 0.100
Nearest neighbor-4: P0DD36, Distance: 0.100
Nearest neighbor-5: Q48RI5, Distance: 0.100
Nearest neighbor-6: Q03308, Distance: 0.102
Nearest neighbor-7: Q5X4J1, Distance: 0.106
Nearest neighbor-8: B7UKC3, Distance: 0.108
Nearest neighbor-9: A1AGU2, Distance: 0.108
Nearest neighbor-10: Q1R5L6, Distance: 0.108
Nearest neighbor-11: Q49UP4, Distance: 0.109
Nearest neighbor-12: B4LZW7, Distance: 0.113
Nearest neighbor-13: Q59685, Distance: 0.113
Nearest neighbor-14: A5F4F5, Distance: 0.114
Nearest neighbor-15: Q83CQ2, Distance: 0.115
Nearest neighbor-16: Q12ID7, Distance: 0.115
Nearest neighbor-17: Q639F7, Distance: 0.117
Nearest neighbor-18: P32742, Distance: 0.117
Nearest neighbor-19: A5DSF0, Distance: 0.118
Nearest neighbor-20: P00936, Distance: 0.118
Nearest neighbor-21: O84481, Distance: 0.118
Nearest neighbor-22: B0BT63, Distance: 0.119
Nearest neighbor-23: A6QEA9, Distance: 0.119
Nearest neighbor-24: P59739, Distance: 0.119
Nearest neighbor-25: Q7VJC6, Distance: 0.119
Nearest neighbor-26: Q32743, Distance: 0.120
Nearest neighbor-27: Q6GC36, Distance: 0.120
Nearest neighbor-28: Q1RH76, Distance: 0.121
Nearest neighbor-29: B2U309, Distance: 0.123
Nearest neighbor-30: B7M1A6, Distance: 0.123
Nearest neighbor-31: B7LGM7, Distance: 0.123
Nearest neighbor-32: C6DKD0, Distance: 0.123
Nearest neighbor-33: A6QKD8, Distance: 0.123
Nearest neighbor-34: Q924I2, Distance: 0.123
Nearest neighbor-35: A9MPJ5, Distance: 0.124
Nearest neighbor-36: P0DW04, Distance: 0.124
Nearest neighbor-37: B6J3R8, Distance: 0.124
Nearest neighbor-38: Q09499, Distance: 0.124
Nearest neighbor-39: Q5ZHT1, Distance: 0.124
Nearest neighbor-40: Q8Z9A7, Distance: 0.124
Nearest neighbor-41: Q0HR19, Distance: 0.124
Nearest neighbor-42: Q8DCN2, Distance: 0.124
Nearest neighbor-43: Q0HMR2, Distance: 0.124
Nearest neighbor-44: Q5HA05, Distance: 0.124
Nearest neighbor-45: B5FFR4, Distance: 0.124
Nearest neighbor-46: Q112N5, Distance: 0.125
Nearest neighbor-47: Q99JP0, Distance: 0.125
Nearest neighbor-48: P77439, Distance: 0.125
Nearest neighbor-49: Q5RB36, Distance: 0.125
Nearest neighbor-50: P57993, Distance: 0.125


