IVFPQ

Query: A0A009HL96
Nearest neighbor-1: Q5HI09, Distance: 0.639
Nearest neighbor-18: C0MBD7, Distance: 0.877
Nearest neighbor-19: Q5PDF0, Distance: 0.891
Nearest neighbor-20: Q54986, Distance: 0.891
Nearest neighbor-21: A7FKM4, Distance: 0.891
Nearest neighbor-22: Q49VV6, Distance: 0.896
Nearest neighbor-23: B1IC35, Distance: 0.898
Nearest neighbor-24: B5FI41, Distance: 0.898
Nearest neighbor-25: Q71WT9, Distance: 0.922
Nearest neighbor-26: A3CNJ9, Distance: 0.922
Nearest neighbor-27: Q8CWX7, Distance: 0.926
Nearest neighbor-28: Q8F8A9, Distance: 0.930
Nearest neighbor-29: B1L280, Distance: 0.959
Nearest neighbor-30: P0DOQ3, Distance: 0.966
Nearest neighbor-31: P05807, Distance: 0.977
Nearest neighbor-32: Q57RF9, Distance: 0.983
Nearest neighbor-33: A9MTI2, Distance: 0.983
Nearest neighbor-34: B5F076, Distance: 0.983
Nearest neighbor-35: C0PWY7, Distance: 0.983
Nearest neighbor-36: A4W8C2, Distance: 0.990
Nearest neighbor-37: Q47EI2, Distance: 1.001
Nearest neighbor-38: A7ZY35, Distance: 1.016
Nearest neighbor-39: B7NA78, Distance: 1.016
Nearest neighbor-40: A9WT85, Distance: 1.039
Nearest neighbor-41: Q3SIK7, Distance: 1.039
Nearest neighbor-42: C5BEJ2, Distance: 1.040
Nearest neighbor-43: A6M2Z0, Distance: 1.104
Nearest neighbor-44: Q641Y8, Distance: 1.148
Nearest neighbor-45: Q65191, Distance: 1.163
Nearest neighbor-46: Q5NVJ8, Distance: 1.167
Nearest neighbor-47: Q4WWE9, Distance: 1.214
Nearest neighbor-48: Q55G81, Distance: 1.245
Nearest neighbor-49: Q10D00, Distance: 1.288
Nearest neighbor-50: Q9T1Q7, Distance: 1.355

Query: A0A010Q8R4
Nearest neighbor-1: Q9P4R5, Distance: 1.221
Nearest neighbor-2: Q652L2, Distance: 1.226
Nearest neighbor-3: P0CS56, Distance: 1.244
Nearest neighbor-4: P0CS29, Distance: 1.268
Nearest neighbor-5: Q5NVM2, Distance: 1.330
Nearest neighbor-6: Q2UUT4, Distance: 1.341
Nearest neighbor-7: Q6CXX3, Distance: 1.349
Nearest neighbor-8: A1CBB8, Distance: 1.373
Nearest neighbor-9: Q9P7C0, Distance: 1.379
Nearest neighbor-10: Q24246, Distance: 1.385
Nearest neighbor-11: A2RAG5, Distance: 1.388
Nearest neighbor-12: Q9SU78, Distance: 1.397
Nearest neighbor-13: A1DE24, Distance: 1.432
Nearest neighbor-14: Q9VKK2, Distance: 1.434
Nearest neighbor-15: Q8BX09, Distance: 1.439
Nearest neighbor-16: Q5ZMV9, Distance: 1.462
Nearest neighbor-17: Q20059, Distance: 1.473
Nearest neighbor-18: A1DIN7, Distance: 1.491
Nearest neighbor-19: O35828, Distance: 1.503
Nearest neighbor-20: Q96U88, Distance: 1.533
Nearest neighbor-21: Q8CFJ9, Distance: 1.542
Nearest neighbor-22: Q8W4D0, Distance: 1.551
Nearest neighbor-23: Q7XIT1, Distance: 1.566
Nearest neighbor-24: Q8TEB1, Distance: 1.576
Nearest neighbor-25: Q05B30, Distance: 1.587
Nearest neighbor-26: Q9S7I8, Distance: 1.594
Nearest neighbor-27: A8XSW2, Distance: 1.606
Nearest neighbor-28: Q4R4I8, Distance: 1.613
Nearest neighbor-29: Q8TBZ3, Distance: 1.627
Nearest neighbor-30: B4GMG4, Distance: 1.636
Nearest neighbor-31: P0DL28, Distance: 1.636
Nearest neighbor-32: Q4ICG8, Distance: 1.644
Nearest neighbor-33: P12917, Distance: 1.647
Nearest neighbor-34: Q8N9V6, Distance: 1.664
Nearest neighbor-35: Q9FMU5, Distance: 1.667
Nearest neighbor-36: Q8BH57, Distance: 1.672
Nearest neighbor-37: Q8BXK8, Distance: 1.674
Nearest neighbor-38: B3H5K9, Distance: 1.675
Nearest neighbor-39: Q8TBC3, Distance: 1.676
Nearest neighbor-40: D8Q8R5, Distance: 1.692
Nearest neighbor-41: Q7SEZ0, Distance: 1.718
Nearest neighbor-42: P54319, Distance: 1.757
Nearest neighbor-43: A1DB29, Distance: 1.794
Nearest neighbor-44: Q9Y263, Distance: 1.794
Nearest neighbor-45: Q2QX01, Distance: 1.796
Nearest neighbor-46: P37841, Distance: 1.823
Nearest neighbor-47: Q7S4I9, Distance: 1.833
Nearest neighbor-48: P0CO69, Distance: 1.904
Nearest neighbor-49: A0A455R614, Distance: 1.915
Nearest neighbor-50: Q94A43, Distance: 2.005


