Neural LSH

Query: A0A009HN45
Nearest neighbor-1: A6QKD8, Distance: 0.143
Nearest neighbor-17: B9IWP6, Distance: 0.428
Nearest neighbor-18: Q635P6, Distance: 0.429
Nearest neighbor-19: Q2NIP7, Distance: 0.429
Nearest neighbor-20: Q7VP87, Distance: 0.429
Nearest neighbor-21: Q54KZ8, Distance: 0.429
Nearest neighbor-22: Q9CP74, Distance: 0.429
Nearest neighbor-23: Q7MHY6, Distance: 0.429
Nearest neighbor-24: P44150, Distance: 0.431
Nearest neighbor-25: A9KYL6, Distance: 0.431
Nearest neighbor-26: O74738, Distance: 0.431
Nearest neighbor-27: Q65168, Distance: 0.433
Nearest neighbor-28: Q6C2A3, Distance: 0.433
Nearest neighbor-29: P44013, Distance: 0.433
Nearest neighbor-30: A5ISZ2, Distance: 0.433
Nearest neighbor-31: B1VA79, Distance: 0.433
Nearest neighbor-32: Q1Q8I2, Distance: 0.434
Nearest neighbor-33: A9KZ67, Distance: 0.435
Nearest neighbor-34: Q8E9R5, Distance: 0.436
Nearest neighbor-35: B0BTY3, Distance: 0.436
Nearest neighbor-36: Q6YR75, Distance: 0.437
Nearest neighbor-37: P43954, Distance: 0.437
Nearest neighbor-38: B2J946, Distance: 0.438
Nearest neighbor-39: B1KD54, Distance: 0.438
Nearest neighbor-40: A3D8E4, Distance: 0.438
Nearest neighbor-41: Q3IBW7, Distance: 0.439
Nearest neighbor-42: Q8ZNG2, Distance: 0.439
Nearest neighbor-43: B2IYW1, Distance: 0.439
Nearest neighbor-44: E1WH94, Distance: 0.440
Nearest neighbor-45: B0BBT2, Distance: 0.440
Nearest neighbor-46: Q8DRN4, Distance: 0.440
Nearest neighbor-47: Q04N32, Distance: 0.440
Nearest neighbor-48: Q5WWF9, Distance: 0.441
Nearest neighbor-49: P33800, Distance: 0.441
Nearest neighbor-50: Q1CMQ0, Distance: 0.441

Query: A0A009PCK4
Nearest neighbor-1: A5UG81, Distance: 0.341
Nearest neighbor-2: P44033, Distance: 0.357
Nearest neighbor-3: P14181, Distance: 0.361
Nearest neighbor-4: Q8EKA0, Distance: 0.389
Nearest neighbor-5: B2K7I7, Distance: 0.397
Nearest neighbor-6: Q12SQ2, Distance: 0.403
Nearest neighbor-7: A1SW96, Distance: 0.407
Nearest neighbor-8: A3DA85, Distance: 0.411
Nearest neighbor-9: Q4QLU9, Distance: 0.411
Nearest neighbor-10: Q8EJX6, Distance: 0.412
Nearest neighbor-11: A1RPL0, Distance: 0.417
Nearest neighbor-12: P24362, Distance: 0.418
Nearest neighbor-13: P47448, Distance: 0.418
Nearest neighbor-14: C1EQQ8, Distance: 0.419
Nearest neighbor-15: A0L1Z0, Distance: 0.421
Nearest neighbor-16: Q635P6, Distance: 0.424
Nearest neighbor-17: B9IWP6, Distance: 0.424
Nearest neighbor-18: Q8EIL1, Distance: 0.427
Nearest neighbor-19: Q2NIP7, Distance: 0.427
Nearest neighbor-20: Q6C2A3, Distance: 0.428
Nearest neighbor-21: Q9CP74, Distance: 0.429
Nearest neighbor-22: P44150, Distance: 0.429
Nearest neighbor-23: A9KYL6, Distance: 0.430
Nearest neighbor-24: Q7MHY6, Distance: 0.430
Nearest neighbor-25: Q7VP87, Distance: 0.430
Nearest neighbor-26: Q54KZ8, Distance: 0.430
Nearest neighbor-27: O74738, Distance: 0.430
Nearest neighbor-28: Q65168, Distance: 0.431
Nearest neighbor-29: Q1Q8I2, Distance: 0.432
Nearest neighbor-30: P44013, Distance: 0.432
Nearest neighbor-31: B1VA79, Distance: 0.433
Nearest neighbor-32: B0BBT2, Distance: 0.434
Nearest neighbor-33: A5ISZ2, Distance: 0.434
Nearest neighbor-34: Q8E9R5, Distance: 0.435
Nearest neighbor-35: Q6YR75, Distance: 0.435
Nearest neighbor-36: P43954, Distance: 0.435
Nearest neighbor-37: B2J946, Distance: 0.436
Nearest neighbor-38: A9KZ67, Distance: 0.437
Nearest neighbor-39: B0BTY3, Distance: 0.437
Nearest neighbor-40: P33800, Distance: 0.438
Nearest neighbor-41: B1KD54, Distance: 0.438
Nearest neighbor-42: Q8ZNG2, Distance: 0.438
Nearest neighbor-43: Q5WWF9, Distance: 0.438
Nearest neighbor-44: Q3IBW7, Distance: 0.439
Nearest neighbor-45: Q8DRN4, Distance: 0.439
Nearest neighbor-46: Q04N32, Distance: 0.439
Nearest neighbor-47: A3D8E4, Distance: 0.439
Nearest neighbor-48: B2K5K6, Distance: 0.439
Nearest neighbor-49: Q6G4C4, Distance: 0.440
Nearest neighbor-50: B2IYW1, Distance: 0.440

