Hypercube

Query: A0A009HPM0
Nearest neighbor-1: Q612F5, Distance: 0.038
Nearest neighbor-17: Q83LP0, Distance: 0.120
Nearest neighbor-18: Q9CCJ1, Distance: 0.120
Nearest neighbor-19: Q9K4U8, Distance: 0.122
Nearest neighbor-20: Q4FS42, Distance: 0.122
Nearest neighbor-21: Q5PGH0, Distance: 0.123
Nearest neighbor-22: Q2NUA5, Distance: 0.123
Nearest neighbor-23: Q2NSZ1, Distance: 0.124
Nearest neighbor-24: C1A4A9, Distance: 0.125
Nearest neighbor-25: Q5B1Q2, Distance: 0.125
Nearest neighbor-26: Q8LPQ6, Distance: 0.125
Nearest neighbor-27: Q2LVL0, Distance: 0.126
Nearest neighbor-28: Q5E0F2, Distance: 0.127
Nearest neighbor-29: A5WJJ8, Distance: 0.127
Nearest neighbor-30: P64708, Distance: 0.127
Nearest neighbor-31: P9WGK2, Distance: 0.128
Nearest neighbor-32: A4X1R6, Distance: 0.130
Nearest neighbor-33: B8JA66, Distance: 0.130
Nearest neighbor-34: A1SHU2, Distance: 0.132
Nearest neighbor-35: A1WYA9, Distance: 0.132
Nearest neighbor-36: Q5YSA4, Distance: 0.132
Nearest neighbor-37: Q9WYC4, Distance: 0.135
Nearest neighbor-38: Q67LC0, Distance: 0.136
Nearest neighbor-39: Q4K9A4, Distance: 0.136
Nearest neighbor-40: P44407, Distance: 0.136
Nearest neighbor-41: Q9RQQ9, Distance: 0.138
Nearest neighbor-42: C1B2W9, Distance: 0.139
Nearest neighbor-43: P9WQ32, Distance: 0.139
Nearest neighbor-44: P54719, Distance: 0.139
Nearest neighbor-45: Q02998, Distance: 0.139
Nearest neighbor-46: Q9RCG7, Distance: 0.140
Nearest neighbor-47: E1V4F9, Distance: 0.141
Nearest neighbor-48: P33973, Distance: 0.141
Nearest neighbor-49: Q3IYI5, Distance: 0.142
Nearest neighbor-50: Q1BAC5, Distance: 0.143

Query: A0A009PCK4
Nearest neighbor-1: B2K7I7, Distance: 0.079
Nearest neighbor-2: A1SW96, Distance: 0.083
Nearest neighbor-3: B4F0D4, Distance: 0.083
Nearest neighbor-4: Q8EJX6, Distance: 0.085
Nearest neighbor-5: A1RPL0, Distance: 0.087
Nearest neighbor-6: P47448, Distance: 0.087
Nearest neighbor-7: A0L1Z0, Distance: 0.089
Nearest neighbor-8: Q9CP74, Distance: 0.092
Nearest neighbor-9: A9KYL6, Distance: 0.092
Nearest neighbor-10: O74738, Distance: 0.093
Nearest neighbor-11: B0BBT2, Distance: 0.094
Nearest neighbor-12: Q8E9R5, Distance: 0.095
Nearest neighbor-13: B0BTY3, Distance: 0.096
Nearest neighbor-14: Q5WWF9, Distance: 0.096
Nearest neighbor-15: B2K5K6, Distance: 0.097
Nearest neighbor-16: B2IYW1, Distance: 0.097
Nearest neighbor-17: P0C993, Distance: 0.097
Nearest neighbor-18: Q2G1M8, Distance: 0.098
Nearest neighbor-19: Q1CMQ0, Distance: 0.098
Nearest neighbor-20: Q74Q56, Distance: 0.098
Nearest neighbor-21: Q66EM6, Distance: 0.098
Nearest neighbor-22: Q9KM66, Distance: 0.098
Nearest neighbor-23: A5F3L5, Distance: 0.099
Nearest neighbor-24: C0MEP5, Distance: 0.100
Nearest neighbor-25: Q8ZJT2, Distance: 0.100
Nearest neighbor-26: A4TSI0, Distance: 0.100
Nearest neighbor-27: B0V636, Distance: 0.100
Nearest neighbor-28: P0DD36, Distance: 0.100
Nearest neighbor-29: P77381, Distance: 0.100
Nearest neighbor-30: Q48RI5, Distance: 0.100
Nearest neighbor-31: Q8DXM9, Distance: 0.101
Nearest neighbor-32: Q50333, Distance: 0.101
Nearest neighbor-33: B1KHV0, Distance: 0.102
Nearest neighbor-34: Q8X7J8, Distance: 0.102
Nearest neighbor-35: Q03308, Distance: 0.102
Nearest neighbor-36: P44440, Distance: 0.102
Nearest neighbor-37: Q38UP9, Distance: 0.103
Nearest neighbor-38: Q7VKR0, Distance: 0.103
Nearest neighbor-39: P45512, Distance: 0.103
Nearest neighbor-40: Q7VM59, Distance: 0.103
Nearest neighbor-41: Q196W2, Distance: 0.104
Nearest neighbor-42: B8CI04, Distance: 0.105
Nearest neighbor-43: Q9ZM10, Distance: 0.105
Nearest neighbor-44: C1CDP2, Distance: 0.105
Nearest neighbor-45: A9KFK2, Distance: 0.105
Nearest neighbor-46: B2J918, Distance: 0.105
Nearest neighbor-47: B6J0K9, Distance: 0.106
Nearest neighbor-48: P77172, Distance: 0.106
Nearest neighbor-49: Q5X4J1, Distance: 0.106
Nearest neighbor-50: Q5UNT1, Distance: 0.106


