IVFPQ

Query: A0A001
Nearest neighbor-1: A5WJJ8, Distance: 2.081
Nearest neighbor-18: P64708, Distance: 2.150
Nearest neighbor-19: A5WJJ8, Distance: 2.150
Nearest neighbor-20: Q4ZZK0, Distance: 2.152
Nearest neighbor-21: A4X1R6, Distance: 2.156
Nearest neighbor-22: Q92N13, Distance: 2.171
Nearest neighbor-23: D2Q1C4, Distance: 2.172
Nearest neighbor-24: Q7VZ31, Distance: 2.177
Nearest neighbor-25: Q1LPJ9, Distance: 2.186
Nearest neighbor-26: Q82G92, Distance: 2.188
Nearest neighbor-27: Q6RCE0, Distance: 2.224
Nearest neighbor-28: Q88RL1, Distance: 2.227
Nearest neighbor-29: Q8Y0C6, Distance: 2.232
Nearest neighbor-30: B1VN94, Distance: 2.253
Nearest neighbor-31: Q9HPH7, Distance: 2.263
Nearest neighbor-32: Q4UV71, Distance: 2.264
Nearest neighbor-33: Q5H0G3, Distance: 2.272
Nearest neighbor-34: Q11D92, Distance: 2.279
Nearest neighbor-35: Q2G7G7, Distance: 2.288
Nearest neighbor-36: B7GQ78, Distance: 2.359
Nearest neighbor-37: B7KSC1, Distance: 2.385
Nearest neighbor-38: Q1IKM7, Distance: 2.412
Nearest neighbor-39: Q9L7M3, Distance: 2.451
Nearest neighbor-40: Q1D320, Distance: 2.455
Nearest neighbor-41: Q0AMW7, Distance: 2.466
Nearest neighbor-42: Q8YJ04, Distance: 2.466
Nearest neighbor-43: Q8PCK0, Distance: 2.468
Nearest neighbor-44: Q4ZV73, Distance: 2.483
Nearest neighbor-45: Q5FUJ5, Distance: 2.485
Nearest neighbor-46: Q28VL7, Distance: 2.488
Nearest neighbor-47: Q8XU66, Distance: 2.545
Nearest neighbor-48: B1LVB8, Distance: 2.638
Nearest neighbor-49: B0R403, Distance: 2.753
Nearest neighbor-50: P0AAH0, Distance: 2.850

Query: A0A009HQC9
Nearest neighbor-1: Q0HR19, Distance: 0.519
Nearest neighbor-2: Q0HMR2, Distance: 0.521
Nearest neighbor-3: A0KGL5, Distance: 0.521
Nearest neighbor-4: A1A7A6, Distance: 0.573
Nearest neighbor-5: A7ZW09, Distance: 0.579
Nearest neighbor-6: B0BT63, Distance: 0.579
Nearest neighbor-7: A7MSB2, Distance: 0.586
Nearest neighbor-8: Q48LP5, Distance: 0.609
Nearest neighbor-9: B5FI41, Distance: 0.610
Nearest neighbor-10: Q5PDF0, Distance: 0.613
Nearest neighbor-11: Q3KGV8, Distance: 0.669
Nearest neighbor-12: Q9HYT6, Distance: 0.745
Nearest neighbor-13: A7FKM4, Distance: 0.940
Nearest neighbor-14: C5BEJ2, Distance: 0.943
Nearest neighbor-15: C0PWY7, Distance: 0.987
Nearest neighbor-16: B5F076, Distance: 0.987
Nearest neighbor-17: A9MTI2, Distance: 0.987
Nearest neighbor-18: Q57RF9, Distance: 0.987
Nearest neighbor-19: Q5X0E6, Distance: 0.999
Nearest neighbor-20: A4W8C2, Distance: 1.027
Nearest neighbor-21: A7ZY35, Distance: 1.051
Nearest neighbor-22: B7NA78, Distance: 1.051
Nearest neighbor-23: Q3K063, Distance: 1.067
Nearest neighbor-24: B8G8R1, Distance: 1.109
Nearest neighbor-25: A9WT85, Distance: 1.115
Nearest neighbor-26: Q50939, Distance: 1.140
Nearest neighbor-27: A6QKD8, Distance: 1.144
Nearest neighbor-28: Q1JBD1, Distance: 1.148
Nearest neighbor-29: Q99ZA5, Distance: 1.154
Nearest neighbor-30: C0MBD7, Distance: 1.170
Nearest neighbor-31: Q9ZDW2, Distance: 1.170
Nearest neighbor-32: Q8ZQN7, Distance: 1.172
Nearest neighbor-33: P52126, Distance: 1.176
Nearest neighbor-34: Q54986, Distance: 1.196
Nearest neighbor-35: B1IC35, Distance: 1.199
Nearest neighbor-36: Q47EI2, Distance: 1.202
Nearest neighbor-37: Q884C9, Distance: 1.206
Nearest neighbor-38: Q7W8V6, Distance: 1.219
Nearest neighbor-39: Q3SIK7, Distance: 1.221
Nearest neighbor-40: Q8CWX7, Distance: 1.227
Nearest neighbor-41: A3CNJ9, Distance: 1.237
Nearest neighbor-42: Q49VV6, Distance: 1.241
Nearest neighbor-43: P0C9B2, Distance: 1.249
Nearest neighbor-44: Q3Z9B4, Distance: 1.276
Nearest neighbor-45: P18074, Distance: 1.364
Nearest neighbor-46: Q9T1Q7, Distance: 1.414
Nearest neighbor-47: Q65191, Distance: 1.425
Nearest neighbor-48: Q46YS9, Distance: 1.538
Nearest neighbor-49: Q5GZV7, Distance: 1.590
Nearest neighbor-50: Q03VV4, Distance: 1.595


